"","knapper","assessment","hours","variable","value","sqrt_hours","score_median","score_relative_median"
"55",13,"4",36,"Score_predicted",3.24560083333333,6,3.360315,-0.11471416666667
"56",14,"4",36,"Score_predicted",3.360315,6,3.360315,0
"57",15,"4",36,"Score_predicted",3.71097333333335,6,3.360315,0.35065833333335
"58",16,"4",36,"Score_predicted",3.1828175,6,3.360315,-0.1774975
"59",17,"4",36,"Score_predicted",3.06020916666667,6,3.360315,-0.30010583333333
"60",19,"4",36,"Score_predicted",3.155735,6,3.360315,-0.20458
"61",21,"4",36,"Score_predicted",3.63450500000002,6,3.360315,0.27419000000002
"62",1,"5",47,"Score_predicted",3.2055175,6.85565460040104,3.35647666666667,-0.15095916666667
"63",2,"5",47,"Score_predicted",3.45099250000001,6.85565460040104,3.35647666666667,0.09451583333334
"64",3,"5",47,"Score_predicted",3.5198275,6.85565460040104,3.35647666666667,0.16335083333333
"65",5,"5",47,"Score_predicted",3.35695500000001,6.85565460040104,3.35647666666667,0.000478333333339798
"66",6,"5",47,"Score_predicted",3.04410416666667,6.85565460040104,3.35647666666667,-0.3123725
"67",7,"5",47,"Score_predicted",3.35647666666667,6.85565460040104,3.35647666666667,0
"68",8,"5",47,"Score_predicted",3.22270166666667,6.85565460040104,3.35647666666667,-0.133775
"69",9,"5",47,"Score_predicted",3.218155,6.85565460040104,3.35647666666667,-0.13832166666667
"70",10,"5",47,"Score_predicted",3.68701166666667,6.85565460040104,3.35647666666667,0.330535
"71",11,"5",47,"Score_predicted",3.31018833333334,6.85565460040104,3.35647666666667,-0.0462883333333299
"72",13,"5",47,"Score_predicted",3.82137666666666,6.85565460040104,3.35647666666667,0.46489999999999
"73",14,"5",47,"Score_predicted",3.62747583333333,6.85565460040104,3.35647666666667,0.27099916666666
"74",15,"5",47,"Score_predicted",3.31209833333333,6.85565460040104,3.35647666666667,-0.0443783333333401
"75",16,"5",47,"Score_predicted",3.11581250000001,6.85565460040104,3.35647666666667,-0.24066416666666
"76",17,"5",47,"Score_predicted",3.94879249999999,6.85565460040104,3.35647666666667,0.59231583333332
"77",19,"5",47,"Score_predicted",3.17051166666666,6.85565460040104,3.35647666666667,-0.18596500000001
"78",21,"5",47,"Score_predicted",3.76510333333335,6.85565460040104,3.35647666666667,0.40862666666668
"79",1,"6",59,"Score_predicted",3.70910833333334,7.68114574786861,3.23042333333334,0.478685
"80",2,"6",59,"Score_predicted",3.06408000000001,7.68114574786861,3.23042333333334,-0.16634333333333
"81",6,"6",59,"Score_predicted",1.57675,7.68114574786861,3.23042333333334,-1.65367333333334
"82",9,"6",59,"Score_predicted",3.39773,7.68114574786861,3.23042333333334,0.16730666666666
"83",11,"6",59,"Score_predicted",3.05884916666668,7.68114574786861,3.23042333333334,-0.17157416666666
"84",14,"6",59,"Score_predicted",3.46552916666667,7.68114574786861,3.23042333333334,0.23510583333333
"85",16,"6",59,"Score_predicted",3.23042333333334,7.68114574786861,3.23042333333334,0
"86",17,"6",59,"Score_predicted",3.31176083333334,7.68114574786861,3.23042333333334,0.0813375000000001
"87",19,"6",59,"Score_predicted",3.44810583333334,7.68114574786861,3.23042333333334,0.2176825
"88",21,"6",59,"Score_predicted",3.338495,7.68114574786861,3.23042333333334,0.10807166666666
"89",1,"7",71,"Score_predicted",3.19964333333333,8.42614977317636,3.38165784061253,-0.1820145072792
"90",2,"7",71,"Score_predicted",3.19687583333334,8.42614977317636,3.38165784061253,-0.18478200727919
"91",3,"7",71,"Score_predicted",3.37026166666667,8.42614977317636,3.38165784061253,-0.0113961739458599
"92",9,"7",71,"Score_predicted",3.07457666666667,8.42614977317636,3.38165784061253,-0.30708117394586
"93",11,"7",71,"Score_predicted",3.24909583333333,8.42614977317636,3.38165784061253,-0.1325620072792
"94",14,"7",71,"Score_predicted",3.51650833333334,8.42614977317636,3.38165784061253,0.13485049272081
"95",16,"7",71,"Score_predicted",3.507475,8.42614977317636,3.38165784061253,0.12581715938747
"96",17,"7",71,"Score_predicted",3.48969500000001,8.42614977317636,3.38165784061253,0.10803715938748
"97",19,"7",71,"Score_predicted",3.80728333333332,8.42614977317636,3.38165784061253,0.42562549272079
"98",21,"7",71,"Score_predicted",3.81122666666668,8.42614977317636,3.38165784061253,0.42956882605415
"99",1,"8",82,"Score_predicted",2.55615833333333,9.05538513813742,3.55797528018437,-1.00181694685104
"100",2,"8",82,"Score_predicted",3.38077750000001,9.05538513813742,3.55797528018437,-0.17719778018436
"101",5,"8",82,"Score_predicted",3.52481083333334,9.05538513813742,3.55797528018437,-0.0331644468510297
"102",7,"8",82,"Score_predicted",4.01130916666667,9.05538513813742,3.55797528018437,0.4533338864823
"103",9,"8",82,"Score_predicted",3.74477416666667,9.05538513813742,3.55797528018437,0.1867988864823
"104",11,"8",82,"Score_predicted",3.1617525,9.05538513813742,3.55797528018437,-0.39622278018437
"105",14,"8",82,"Score_predicted",3.50810083333332,9.05538513813742,3.55797528018437,-0.0498744468510499
"106",16,"8",82,"Score_predicted",3.540345,9.05538513813742,3.55797528018437,-0.01763028018437
"107",19,"8",82,"Score_predicted",3.71289750000002,9.05538513813742,3.55797528018437,0.15492221981565
"108",21,"8",82,"Score_predicted",3.82113916666666,9.05538513813742,3.55797528018437,0.26316388648229
"109",1,"9",93,"Score_predicted",3.87407666666666,9.64365076099295,3.47439333333334,0.39968333333332
"110",2,"9",93,"Score_predicted",3.44490916666667,9.64365076099295,3.47439333333334,-0.0294841666666703
"111",5,"9",93,"Score_predicted",2.18151166666667,9.64365076099295,3.47439333333334,-1.29288166666667
"112",7,"9",93,"Score_predicted",4.13127583333333,9.64365076099295,3.47439333333334,0.65688249999999
"113",9,"9",93,"Score_predicted",3.72997333333333,9.64365076099295,3.47439333333334,0.25557999999999
"114",10,"9",93,"Score_predicted",3.73460083333333,9.64365076099295,3.47439333333334,0.26020749999999
"115",11,"9",93,"Score_predicted",3.47439333333334,9.64365076099295,3.47439333333334,0
"116",14,"9",93,"Score_predicted",3.46409500000001,9.64365076099295,3.47439333333334,-0.01029833333333
"117",16,"9",93,"Score_predicted",3.5408275,9.64365076099295,3.47439333333334,0.0664341666666597
"118",19,"9",93,"Score_predicted",3.27416999999999,9.64365076099295,3.47439333333334,-0.20022333333335
"119",21,"9",93,"Score_predicted",3.66945583333334,9.64365076099295,3.47439333333334,0.1950625
"120",1,"3",24,"spline",3.67841379883887,4.89897948556636,3.25052416666666,0.42788963217221
"121",8,"3",24,"spline",3.28314584323425,4.89897948556636,3.25052416666666,0.0326216765675902
"122",14,"3",24,"spline",2.64799350627411,4.89897948556636,3.25052416666666,-0.60253066039255
"123",1,"4",36,"spline",3.25327873713996,6,3.360315,-0.10703626286004
"124",6,"4",36,"spline",3.73334985746398,6,3.360315,0.37303485746398
"125",8,"4",36,"spline",3.53790388826556,6,3.360315,0.17758888826556
"126",9,"4",36,"spline",3.79634050379299,6,3.360315,0.43602550379299
"127",3,"6",59,"spline",2.29066808499524,7.68114574786861,3.23042333333334,-0.9397552483381
"128",5,"6",59,"spline",1.6923051358428,7.68114574786861,3.23042333333334,-1.53811819749054
"129",7,"6",59,"spline",2.11076930466853,7.68114574786861,3.23042333333334,-1.11965402866481
"130",8,"6",59,"spline",2.89716079602741,7.68114574786861,3.23042333333334,-0.33326253730593
"131",10,"6",59,"spline",3.28306063215803,7.68114574786861,3.23042333333334,0.0526372988246897
"132",13,"6",59,"spline",3.23029908842405,7.68114574786861,3.23042333333334,-0.000124244909290194
"133",15,"6",59,"spline",3.38184988914581,7.68114574786861,3.23042333333334,0.15142655581247
"134",5,"7",71,"spline",3.44033431944653,8.42614977317636,3.38165784061253,0.0586764788340002
"135",6,"7",71,"spline",3.38165784061253,8.42614977317636,3.38165784061253,0
"136",7,"7",71,"spline",3.25837653538859,8.42614977317636,3.38165784061253,-0.12328130522394
"137",8,"7",71,"spline",3.13463470899866,8.42614977317636,3.38165784061253,-0.24702313161387
"138",10,"7",71,"spline",3.12322254839918,8.42614977317636,3.38165784061253,-0.25843529221335
"139",13,"7",71,"spline",3.39989414349485,8.42614977317636,3.38165784061253,0.01823630288232
