"","knapper","assessment","experiment","condition","Core.Number","Score","Training.Hours","delta_weight","Dim.1","Dim.2","profile_asymetry_index","plan_asymetry_index","percent_unflaked_area","percent_bifacially_flaked","flake_scar_density","delta_profile_thickness_cv","cooks_distance"
"15",11,"2","handaxe","main","h_67",2,12,-0.126471910752558,1.04761213544703,-2.92097560571867,-0.0370306743170713,1.86986423223983,-0.721027994476352,0.786655604779495,-0.553539946216733,-0.352458349669645,0.0511800184427452
"41",16,"1","handaxe","main","h_93",1,0,1.11626944916203,-0.24288931242772,1.4109009539236,0.0773912040796726,-0.488827442155404,-0.528408061528873,0.319008203211535,-0.714964380989892,1.06419865991394,0.0961346762511902
"75",21,"1","handaxe","main","h_43",1,0,-0.228570215520241,0.70906860107746,-0.0122251850979283,-0.694956475098348,1.6733065927069,-0.475129299798419,-0.884004540434489,-0.342528634598405,-1.34748293210816,0.0482133284064439
"110",6,"6","handaxe","main","h_57",3,59,-0.149765675894324,2.14617718973528,1.42663425277416,-0.122847083114629,3.18960838338955,0.898917715525304,-1.50607318719869,-1.35251119339151,0.401295640009115,0.123947294988929
"118",8,"1","handaxe","main","h_5",1,0,-0.450090196689718,-1.48070295892863,-1.59400448375024,1.47905921443978,0.887076034575151,2.26751976292854,-1.50607318719869,-0.495411822587447,3.11428873548687,0.119543493917278
"120",8,"5","handaxe","main","h_50",3.5,47,-0.670819139894482,0.44823482983063,0.281101407376885,0.964160761654437,3.35808636013207,-0.267404610556226,-0.222266148122599,1.8703098203994,-2.1338863280369,0.0778351371270571
