"","knapper","assessment","width_0.1","width_0.2","width_0.3","width_0.4","width_0.5","width_0.6","width_0.7","width_0.8","width_0.9","thickness_0.1","thickness_0.2","thickness_0.3","thickness_0.4","thickness_0.5","thickness_0.6","thickness_0.7","thickness_0.8","thickness_0.9","max_length"
"1",1,1,1.12936760623287,1.2593748413522,1.39748411237773,1.37715877374596,1.41237687202036,1.35954972460876,1.24513773779446,1.09958208694761,0.713634815831496,0.535477053361682,0.772460958287573,0.912387112063546,0.980663109880442,0.940597286694886,0.889818972358474,0.793904378611918,0.763997905898171,0.495411230176126,2.09201123659226
"2",1,2,1.09034496216818,1.39409240004944,1.85779405216751,1.82241264069254,1.7191838633678,1.56513254992642,1.53266659555162,1.4515736962097,1.22672356652084,0.636358666266112,0.689583400728345,0.687117718141437,0.723011821547411,0.637591507559566,0.636358666266112,0.585585443801207,0.562076435688096,0.515639413634651,1.76259178019264
"3",1,5,0.667627212471266,0.928997463355488,1.06496618933546,1.30251442623397,1.53658098416534,1.65227045721388,1.65312560643388,1.61690392875818,1.37850054263966,0.390203915740063,0.60139402963315,0.835934815422182,1.04712492931527,1.11361783126407,0.960167123367033,0.827902761443556,0.663486135539771,0.412135751753556,2.49886818501368
"4",1,6,0.894976704103349,1.27402095221868,1.57881735659019,1.83144681234745,1.95299180003948,1.87200628134676,1.79095405300109,1.52865169756472,1.21131387843684,0.341532412237825,0.544208944477081,0.700608937931115,0.785992040990571,0.825912778194623,0.75728587930371,0.74291966663883,0.581713426534573,0.335938256300678,2.69173449691191
"5",1,7,0.841995250232019,1.1799537227627,1.3501044888932,1.43724399600659,1.49531840503671,1.51144088746678,1.58162110510356,1.45258545852656,0.941240565952073,0.345023671762495,0.541640382540893,0.70788165643295,0.933512070846096,0.978361414390498,0.987608022437606,0.95066551712826,0.792989984657514,0.538982806356333,2.18908723375767
"6",1,8,0.559380594961109,0.898656449722909,1.11390901396951,1.2276005160337,1.3146887085641,1.27900848367052,1.20584938245262,1.01113490779891,0.939774458011757,0.624291128804621,0.899737419141641,1.00615460963296,1.04213751913831,1.07120380530624,0.973646479947127,0.932245548827476,0.866224732256801,0.704112255748513,2.16172804513498
"7",1,9,0.708577780069893,1.05748164023923,1.29810896407342,1.45464919054095,1.61700640114137,1.58786388657457,1.56787880247441,1.48960868924065,1.33721522373915,0.3452006176006,0.586754885815207,0.727429125935683,0.84960075807126,0.899009070325051,0.905856849260638,0.83379644708416,0.70067290360458,0.500976251002867,2.9539912492713
"8",10,1,0.448791073446031,0.846210543258445,1.05634226237681,1.30052133156298,1.50830307306832,1.85834043612504,1.89703309077675,1.81565828459541,1.22308137161741,0.308431872209713,0.500720371821726,0.877207354725497,1.02891667673113,1.03453235295343,1.03765217307693,0.979580486778083,0.779804418869664,0.498848479747625,2.84675195029271
"9",10,2,1.05185717033559,1.34043364515253,1.44212907460728,1.64269506047635,1.70892263953484,1.87408354996412,1.91946984348003,1.65267627855246,1.26152552489043,0.302901522163244,0.488112358250985,0.615861866088927,0.671148313957659,0.786713548751664,0.803939589951711,0.770920951439138,0.587168273788704,0.373263845400741,3.57691701872296
"10",10,3,0.841408304025156,1.17552393058761,1.60534128197271,1.77237283243154,1.89538789254933,1.91666077869267,1.9318406900394,1.71921687989559,1.28183583565952,0.335750538955277,0.508712937811026,0.868927192434207,0.893969930958156,0.799154938280776,0.746670652257834,0.614860234956717,0.472937597062527,0.32323950938716,3.08745740124844
"11",10,4,0.59108447865977,0.946403327559405,1.4087075921228,1.68583561306892,1.9698838802327,2.17001421912491,2.27349974014985,2.0802896474753,1.66054091999749,0.247710867868844,0.450075928319977,0.705052146548565,0.758571473120986,0.80394859670404,0.872906792790916,0.78763287455996,0.588900489288698,0.358413512358902,3.22308479010818
